,INPUT:dataset_name,INPUT:model_id,INPUT:topic_id,INPUT:wordset,OUTPUT:quality,OUTPUT:topic_name,OUTPUT:bad_words,llm_score,llm_metric,human_metric
5458,20newsgroups,631ba5136d9890a069a96392,main15,price board shipping package slot hello port sony thank unit sell purchase digital mask nubus,bad,,"{""price"":false,""board"":false,""shipping"":false,""package"":false,""slot"":false,""hello"":false,""port"":false,""sony"":false,""thank"":false,""unit"":false,""sell"":false,""purchase"":false,""digital"":false,""mask"":false,""nubus"":false}","ChatCompletion(id='chatcmpl-9Ve6AKPkT42iNEuMHTBa5LVFByH9Q', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='1', role='assistant', function_call=None, tool_calls=None))], created=1717329334, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=275, total_tokens=276))",1,1
2621,20newsgroups,631bbbf943fb92a9d1439d96,main46,moral school keith caltech animal morality human livesey definition natural behavior humans goal learning solntze,bad,,"{""moral"":false,""school"":false,""keith"":false,""caltech"":false,""animal"":false,""morality"":false,""human"":false,""livesey"":false,""definition"":false,""natural"":false,""behavior"":false,""humans"":false,""goal"":false,""learning"":false,""solntze"":false}","ChatCompletion(id='chatcmpl-9Ve6BqmRZcuX2cXQMhnumHSwy1b9a', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329335, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=315, total_tokens=316))",2,1
4225,20newsgroups,631b992927e1a64b30541a0c,main10,news anonymous service usenet network internet email electronic privacy message user public conference site congress,bad,,"{""news"":false,""anonymous"":false,""service"":false,""usenet"":false,""network"":false,""internet"":false,""email"":false,""electronic"":false,""privacy"":false,""message"":false,""user"":false,""public"":false,""conference"":false,""site"":false,""congress"":false}","ChatCompletion(id='chatcmpl-9Ve6CDFnyOAQSbwALlb8gtnzfowlF', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329336, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=321, total_tokens=322))",3,1
2066,20newsgroups,631b929d5a95b966a8e30347,main15,apple offer monitor sale price shipping pitt selling manual gordon sell purchase banks dealer excellent,bad,,"{""purchase"":false,""sale"":false,""sell"":false,""manual"":false,""dealer"":false,""monitor"":false,""apple"":false,""pitt"":false,""excellent"":false,""shipping"":false,""price"":false,""selling"":false,""offer"":false,""banks"":false,""gordon"":false}","ChatCompletion(id='chatcmpl-9Ve6CI7zlg29ISJ3JHmTZyThIfphX', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329336, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=295, total_tokens=296))",2,1
3392,20newsgroups,631bb830cda35d2841a002ce,main10,anonymous news service usenet privacy network electronic internet email site public user server congress archive,bad,,"{""anonymous"":false,""news"":false,""service"":false,""usenet"":false,""privacy"":false,""network"":false,""electronic"":false,""internet"":false,""email"":false,""site"":false,""public"":false,""user"":false,""server"":false,""congress"":false,""archive"":false}","ChatCompletion(id='chatcmpl-9Ve6DG9lE6I5uwd72n9SpoI8G6bC0', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329337, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=313, total_tokens=314))",3,1
1836,20newsgroups,631b899af849c89c61879fd2,main6,disk scsi card speed controller port fast board chip modem floppy machine upgrade cable switch,good,Computer,"{""disk"":false,""scsi"":true,""card"":false,""speed"":false,""controller"":false,""port"":false,""fast"":false,""board"":false,""chip"":false,""modem"":false,""floppy"":false,""machine"":false,""upgrade"":false,""cable"":false,""switch"":false}","ChatCompletion(id='chatcmpl-9Ve6Es97ca107uvs3GQ0ABWqbDWRI', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329338, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=277, total_tokens=278))",3,4
799,20newsgroups,631ba8d415ff0c23bc8b4939,main15,price apple sell offer monitor sale shipping asking condition model keyboard selling pitt manual original,good,business,"{""price"":false,""apple"":true,""sell"":false,""offer"":false,""monitor"":false,""sale"":false,""shipping"":false,""asking"":true,""condition"":false,""model"":false,""keyboard"":false,""selling"":false,""pitt"":true,""manual"":false,""original"":false}","ChatCompletion(id='chatcmpl-9Ve6EWTrTxySI1IRv0fE4N4RYY8tR', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329338, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=299, total_tokens=300))",3,4
1635,20newsgroups,631bbb9a27e1a64b30544213,main32,water cold nuclear marc heat tower cool plant energy cooling nist temperature needle ncsl steam,good,energy,"{""water"":false,""cold"":false,""nuclear"":false,""marc"":true,""heat"":false,""tower"":false,""cool"":false,""plant"":false,""energy"":false,""cooling"":false,""nist"":false,""temperature"":false,""needle"":false,""ncsl"":false,""steam"":false}","ChatCompletion(id='chatcmpl-9Ve6FsvI2k4BtIw6WbQnjmp1ziage', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329339, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=279, total_tokens=280))",3,4
614,20newsgroups,631b95e6f30064faf33e1a29,main3,drug country nazi child german anti care germany political party jewish society research policy insurance,good,nazi's,"{""drug"":false,""country"":false,""nazi"":false,""child"":true,""german"":false,""anti"":false,""care"":false,""germany"":false,""political"":false,""party"":false,""jewish"":false,""society"":false,""research"":false,""policy"":false,""insurance"":true}","ChatCompletion(id='chatcmpl-9Ve6GOShpl2t4qV0R1D7nkDZ66X6d', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='2', role='assistant', function_call=None, tool_calls=None))], created=1717329340, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=299, total_tokens=300))",2,4
3522,20newsgroups,631bbb9a27e1a64b30544213,main10,news anonymous service usenet network privacy electronic internet email site public user server congress archive,good,News,"{""service"":false,""server"":false,""user"":false,""public"":false,""email"":false,""archive"":false,""privacy"":false,""electronic"":false,""internet"":false,""network"":false,""anonymous"":false,""usenet"":false,""site"":false,""congress"":false,""news"":false}","ChatCompletion(id='chatcmpl-9Ve6H17aK0yljjz4gB5TkVl3nNgPI', choices=[Choice(finish_reason='length', index=0, logprobs=None, message=ChatCompletionMessage(content='3', role='assistant', function_call=None, tool_calls=None))], created=1717329341, model='gpt-4o-2024-05-13', object='chat.completion', system_fingerprint='fp_319be4768e', usage=CompletionUsage(completion_tokens=1, prompt_tokens=313, total_tokens=314))",3,4
