title_0,title_1,title_2,title_3,paragraph,page_num,doc_name,doc_idx,paragraph_number
empty,empty,empty,empty,"Государственная система санитарно-эпидемиологического
нормирования Российской Федерации Федеральные санитарные правила, нормы и гигиенические нормативы",1.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4153.0,empty
empty,empty,empty,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,"Минздрав России
Москва 2001",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4154.0,2.2.4
empty,empty,empty,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,"1. Разработаны: НИИ медицины труда РАМН (Афанасьева Р.Ф., Репин Г.Н., Михайлова Н.С., Бессонова Н.А., Бурмистрова О.В., Лосик Т.К.); Московский НИИ гигиены им. Ф.Ф. Эрисмана (Устюшин Б.В.); при участии Санкт-Петербургского НИИ гигиены труда и профзаболеваний (Синицина Е.В., Чащин В.П.); Госкомсанэпиднадзор России (Лыткин Б.Г., Кучеренко А.И.).",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4155.0,1
empty,empty,empty,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,"2. Утверждены и введены в действие Постановлением Госкомсанэпиднадзора России от 1 октября 1996 г., № 21.",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4156.0,2
empty,empty,empty,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,"3. Введены взамен «Санитарных норм микроклимата производственных помещений», утвержденных Минздравом СССР от 31.03.86, № 4088-86[https://meganorm.ru/Data2/1/4293786/4293786335.htm]. Закон РСФСР «О санитарно-эпидемиологическом благополучии населения[https://meganorm.ru/Data2/1/4294850/4294850699.htm]» «Санитарные правила, нормы и гигиенические нормативы (далее - санитарные правила) - нормативные акты, устанавливающие критерии безопасности и (или) безвредности для человека факторов среды его обитания и требования к обеспечению благоприятных условий его жизнедеятельности. Санитарные правила обязательны для соблюдения всеми государственными органами и общественными объединениями, предприятиями и иными хозяйствующими субъектами, организациями и учреждениями, независимо от их подчиненности и форм собственности, должностными лицами и гражданами» (статья 3). «Санитарным правонарушением признается посягающее на права граждан и интересы общества противоправное, виновное (умышленное или неосторожное) деяние (действие или бездействие), связанное с несоблюдением санитарного законодательства РСФСР, в том числе действующих санитарных правил... Должностные лица и граждане РСФСР, допустившие санитарное правонарушение, могут быть привлечены к дисциплинарной, административной и уголовной ответственности» (статья 27).",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4157.0,3
empty,empty,empty,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,"2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ
ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату
производственных помещений Hygienic requirements to occupational microclimate Санитарные правила и нормы
СанПиН 2.2.4.548-96",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4158.0,2.2.4
empty,1. Общие положения и область применения,empty,empty,"1.1. Настоящие Санитарные правила и нормы (далее - Санитарные правила) предназначены для предотвращения неблагоприятного воздействия микроклимата рабочих мест, производственных помещений на самочувствие, функциональное состояние, работоспособность и здоровье человека.",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4159.0,1.1
empty,1. Общие положения и область применения,empty,empty,"1.2. Настоящие Санитарные правила распространяются на показатели микроклимата на рабочих местах всех видов производственных помещений и являются обязательными для всех предприятий и организаций. Ссылки на обязательность соблюдения требований настоящих санитарных правил должны быть включены в нормативно-технические документы: стандарты, строительные нормы и правила, технические условия и иные нормативные и технические документы, регламентирующие эксплуатационные характеристики производственных объектов, технологического, инженерного и санитарно-технического оборудования, обусловливающих обеспечение гигиенических нормативов микроклимата.",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4160.0,1.2
empty,1. Общие положения и область применения,empty,empty,"1.3. В соответствии со статьями 9 и 34 Закона РСФСР «О санитарно-эпидемиологическом благополучии населения[https://meganorm.ru/Data2/1/4294850/4294850699.htm]» в организациях должен осуществляться производственный контроль за соблюдением требований Санитарных правил и проведением профилактических мероприятий, направленных на предупреждение возникновения заболеваний работающих в производственных помещениях, а также контроль за соблюдением условий труда и отдыха и выполнением мер коллективной и индивидуальной защиты работающих от неблагоприятного воздействия микроклимата.",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4161.0,1.3
empty,1. Общие положения и область применения,empty,empty,"1.4. Руководители предприятий, организаций и учреждений вне зависимости от форм собственности и подчинённости в порядке обеспечения производственного контроля обязаны привести рабочие места в соответствие с требованиями к микроклимату, предусмотренными настоящими Санитарными правилами.",2.0,2.2.4. ФИЗИЧЕСКИЕ ФАКТОРЫ ПРОИЗВОДСТВЕННОЙ СРЕДЫ Гигиенические требования к микроклимату производственных помещений Санитарные правила и нормы СанПиН 2.2.4.548-96,4162.0,1.4
